Model,Features,Imbalance,Accuracy,Precision,Recall,F1,AUC-ROC,Best_Params,CV_F1,Training_Time
XGBoost,TF-IDF,class_weight=balanced,0.988984088127295,0.9948186528497409,0.9918819188191882,0.9933481152993349,0.997513523522332,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.9915031760857786,159.16492009162903
XGBoost,Hybrid,class_weight=balanced,0.988984088127295,0.9962880475129918,0.9904059040590406,0.993338267949667,0.9975558465262072,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9926146182627384,152.25695395469666
Random Forest,TF-IDF,class_weight=balanced,0.9804161566707467,0.9810909090909091,0.9955719557195571,0.9882783882783883,0.9960375087621844,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.9891729954747616,21.38334012031555
Random Forest,Hybrid,class_weight=balanced,0.9761321909424725,0.9781976744186046,0.9933579335793358,0.9857195166605639,0.9954132444550252,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.9872674157882475,21.10864520072937
SVM (Linear),TF-IDF,class_weight=balanced,0.9632802937576499,0.9821295606850335,0.9734317343173432,0.977761304670126,0.9893663452763559,"{'C': 1, 'loss': 'squared_hinge', 'max_iter': 2000}",0.9666391687836147,2.0755882263183594
SVM (Linear),Hybrid,class_weight=balanced,0.9626682986536108,0.9743401759530792,0.9808118081180812,0.9775652813534388,0.9889140181724398,"{'C': 10, 'loss': 'squared_hinge', 'max_iter': 2000}",0.9304307987292721,54.421306133270264
Logistic Regression,TF-IDF,class_weight=balanced,0.9626682986536108,0.9842814371257484,0.9704797047970479,0.9773318468970643,0.9896731870544512,"{'C': 10, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.9647336617234273,3.90579891204834
Logistic Regression,Hybrid,class_weight=balanced,0.95593635250918,0.981245311327832,0.9653136531365314,0.9732142857142857,0.9867185123464138,"{'C': 10, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.9627634780855161,30.94760799407959
Baseline (Majority Class),N/A,N/A,0.8292533659730722,0.8292533659730722,1.0,0.9066577450652392,0.5,,,
